date,store_id,product_id,price,promotion,holiday,sales
2022-01-01,7,146,98.24,1,0,32
2022-01-02,4,145,17.8,0,0,53
2022-01-03,8,118,34.91,0,0,47
2022-01-04,5,112,51.12,0,0,47
2022-01-05,7,141,50.41,1,1,69
2022-01-06,10,120,49.78,1,0,65
2022-01-07,3,136,21.7,0,0,44
2022-01-08,7,126,18.77,1,0,72
2022-01-09,8,128,29.2,0,0,28
2022-01-10,5,119,91.88,1,0,21
2022-01-11,4,124,15.74,0,0,40
2022-01-12,8,105,76.96,0,0,22
2022-01-13,8,135,76.97,0,0,25
2022-01-14,3,101,81.93,1,0,37
2022-01-15,6,121,89.23,1,0,76
2022-01-16,5,131,29.99,1,0,66
2022-01-17,2,115,26.33,1,0,65
2022-01-18,8,117,49.22,0,0,41
2022-01-19,6,104,30.18,1,0,73
2022-01-20,2,135,74.76,1,0,49
2022-01-21,5,129,65.41,0,0,41
2022-01-22,1,144,88.12,0,0,30
2022-01-23,10,118,12.86,0,0,54
2022-01-24,6,122,91.93,1,0,62
2022-01-25,9,133,32.87,1,1,101
2022-01-26,1,112,51.62,1,0,68
2022-01-27,10,142,46.67,1,0,82
2022-01-28,3,128,77.23,1,0,40
2022-01-29,7,135,44.93,1,0,63
2022-01-30,4,121,94.64,1,0,18
2022-01-31,9,146,90.74,0,0,39
2022-02-01,3,135,87.86,0,0,37
2022-02-02,5,108,11.77,0,0,53
2022-02-03,3,138,86.15,1,0,77
2022-02-04,7,118,79.26,0,0,22
2022-02-05,5,137,14.83,0,0,37
2022-02-06,9,105,15.2,0,0,39
2022-02-07,7,146,14.61,0,0,26
2022-02-08,2,114,6.08,0,0,46
2022-02-09,4,119,57.12,0,0,51
2022-02-10,9,108,97.47,0,0,22
2022-02-11,2,131,46.68,0,0,24
2022-02-12,10,103,56.37,0,0,30
2022-02-13,9,149,96.96,0,0,30
2022-02-14,10,117,29.24,0,0,53
2022-02-15,5,104,86.55,0,0,36
2022-02-16,2,119,56.91,0,1,48
2022-02-17,4,122,59.1,0,0,35
2022-02-18,7,110,37.6,1,1,84
2022-02-19,8,136,58.35,0,0,31
2022-02-20,3,121,11.95,0,0,56
2022-02-21,1,103,77.64,0,0,23
2022-02-22,4,128,32.05,0,0,61
2022-02-23,2,143,89.32,0,0,40
2022-02-24,8,133,39.95,0,0,21
2022-02-25,4,112,18.57,0,0,52
2022-02-26,2,141,71.11,0,0,41
2022-02-27,6,108,20.63,0,0,50
2022-02-28,6,141,76.6,1,0,63
2022-03-01,10,130,96.97,0,0,33
2022-03-02,4,106,79.06,1,0,31
2022-03-03,6,103,7.13,0,0,61
2022-03-04,2,118,61.99,0,0,21
2022-03-05,10,141,71.06,0,0,27
2022-03-06,2,129,83.42,1,0,61
2022-03-07,10,130,10.32,0,0,38
2022-03-08,4,134,50.61,0,0,36
2022-03-09,8,120,55.86,0,0,38
2022-03-10,7,130,21.07,0,0,63
2022-03-11,9,118,35.63,1,0,35
2022-03-12,8,130,46.82,0,0,41
2022-03-13,5,131,84.15,0,0,17
2022-03-14,2,101,93.29,0,0,30
2022-03-15,5,109,64.7,0,0,50
2022-03-16,8,101,42.52,0,0,49
2022-03-17,10,101,29.13,0,0,48
2022-03-18,9,123,98.3,0,0,25
2022-03-19,9,116,98.39,1,0,57
2022-03-20,1,131,92.87,0,0,28
2022-03-21,9,115,79.64,1,0,68
2022-03-22,7,115,35.95,0,0,37
2022-03-23,9,145,82.62,0,0,43
2022-03-24,8,138,43.84,0,0,38
2022-03-25,1,130,36.04,1,0,47
2022-03-26,8,142,75.76,0,0,34
2022-03-27,8,123,12.57,0,0,65
2022-03-28,3,100,9.61,0,0,56
2022-03-29,1,110,47.56,1,0,56
2022-03-30,8,120,47.34,0,1,69
2022-03-31,3,103,90.09,0,0,31
2022-04-01,3,106,16.98,0,0,63
2022-04-02,1,125,16.71,1,0,60
2022-04-03,5,146,19.01,1,0,65
2022-04-04,10,149,7.82,0,0,59
2022-04-05,7,111,11.81,0,0,50
2022-04-06,10,130,67.69,1,0,64
2022-04-07,9,116,46.0,1,0,54
2022-04-08,7,132,77.54,0,1,53
2022-04-09,9,110,99.3,1,0,57
2022-04-10,8,127,67.61,0,0,52
2022-04-11,2,131,9.79,0,0,34
2022-04-12,1,100,14.93,1,0,49
2022-04-13,7,146,88.7,0,0,33
2022-04-14,7,127,55.11,1,0,66
2022-04-15,8,141,83.36,0,0,19
